type,compilation time,deployment time,total time
qos,0.00820612907409668,0.0,0.00823211669921875
temporal,0.00037097930908203125,0.0,0.0003769397735595703
acl,0.00035119056701660156,0.0,0.0003581047058105469
mixed,0.0002570152282714844,9.5367431640625e-07,0.00026798248291015625
sfc,0.0004100799560546875,0.0,0.0004200935363769531
qos,0.00020599365234375,9.5367431640625e-07,0.00021386146545410156
temporal,0.0004088878631591797,0.0,0.0004200935363769531
acl,0.0005109310150146484,9.5367431640625e-07,0.0005218982696533203
mixed,0.008896112442016602,0.0,0.00890803337097168
sfc,0.00041604042053222656,0.0,0.0004639625549316406
qos,0.0003619194030761719,0.0,0.00037217140197753906
temporal,0.007688045501708984,0.0,0.007697105407714844
acl,0.0004200935363769531,0.0,0.0004279613494873047
mixed,0.0002529621124267578,0.0,0.0002779960632324219
sfc,0.008497953414916992,0.0,0.008523941040039062
qos,0.0004990100860595703,0.0,0.000537872314453125
temporal,0.00036716461181640625,0.0,0.0003781318664550781
acl,0.000453948974609375,0.0,0.0004749298095703125
mixed,0.0002701282501220703,0.0,0.00029206275939941406
sfc,0.0005099773406982422,0.0,0.0005309581756591797
qos,0.0002818107604980469,0.0,0.0003058910369873047
temporal,0.007739067077636719,0.0,0.007750034332275391
acl,0.010198116302490234,0.0,0.010211944580078125
mixed,0.023607969284057617,0.0,0.023622989654541016
sfc,0.0006890296936035156,0.0,0.0006990432739257812
qos,0.0002129077911376953,0.0,0.00022292137145996094
temporal,0.000392913818359375,0.0,0.0004000663757324219
acl,0.00028705596923828125,0.0,0.0002930164337158203
mixed,0.009194135665893555,0.0,0.009206056594848633
sfc,0.0003230571746826172,0.0,0.00033020973205566406
qos,0.00032591819763183594,0.0,0.00034880638122558594
temporal,0.0003941059112548828,0.0,0.0004010200500488281
acl,0.0003352165222167969,0.0,0.0003440380096435547
mixed,0.007944822311401367,0.0,0.007960081100463867
sfc,0.00854182243347168,0.0,0.008558034896850586
qos,0.008121013641357422,0.0,0.008188009262084961
temporal,0.0004990100860595703,0.0,0.0005087852478027344
acl,0.0005419254302978516,0.0,0.0005528926849365234
mixed,0.007966041564941406,9.5367431640625e-07,0.007981061935424805
sfc,0.0007140636444091797,0.0,0.0007281303405761719
qos,0.00029397010803222656,1.1920928955078125e-06,0.00030112266540527344
temporal,0.0003399848937988281,0.0,0.00034689903259277344
acl,0.00904393196105957,0.0,0.009057998657226562
mixed,0.000247955322265625,0.0,0.0002651214599609375
sfc,0.000820159912109375,0.0,0.0008459091186523438
qos,0.00045800209045410156,0.0,0.0004818439483642578
temporal,0.007486104965209961,0.0,0.00749516487121582
acl,0.008968830108642578,0.0,0.008983850479125977
mixed,0.00036406517028808594,0.0,0.0003948211669921875
sfc,0.0069539546966552734,0.0,0.006981849670410156
qos,0.008179903030395508,0.0,0.00819706916809082
temporal,0.0004210472106933594,0.0,0.0004291534423828125
acl,0.00038886070251464844,0.0,0.00041604042053222656
mixed,0.007324934005737305,0.0,0.007333040237426758
sfc,0.009948968887329102,0.0,0.009978055953979492
qos,0.00032401084899902344,1.1920928955078125e-06,0.0003330707550048828
temporal,0.00037097930908203125,0.0,0.00037598609924316406
acl,0.008142948150634766,9.5367431640625e-07,0.008153915405273438
mixed,0.00887298583984375,0.0,0.008883953094482422
sfc,0.007706880569458008,0.0,0.00773310661315918
qos,0.00032711029052734375,9.5367431640625e-07,0.0003349781036376953
temporal,0.0003981590270996094,0.0,0.0004229545593261719
acl,0.0003809928894042969,0.0,0.00038886070251464844
mixed,0.009036064147949219,0.0,0.009051084518432617
sfc,0.007954120635986328,9.5367431640625e-07,0.007993936538696289
qos,0.0003540515899658203,0.0,0.0003638267517089844
temporal,0.009768009185791016,0.0,0.009777069091796875
acl,0.0002830028533935547,0.0,0.00029015541076660156
mixed,0.007406949996948242,0.0,0.007417917251586914
sfc,0.0006699562072753906,0.0,0.00067901611328125
qos,0.007762908935546875,0.0,0.007775783538818359
temporal,0.007559061050415039,0.0,0.007582902908325195
acl,0.0005340576171875,0.0,0.0005471706390380859
mixed,0.0007188320159912109,9.5367431640625e-07,0.0007300376892089844
sfc,0.008411884307861328,0.0,0.008441925048828125
qos,0.007842063903808594,0.0,0.00786900520324707
temporal,0.009292125701904297,0.0,0.009301900863647461
acl,0.00032591819763183594,0.0,0.0003349781036376953
mixed,0.00018906593322753906,0.0,0.0002009868621826172
